text,attributeScores.THREAT.summaryScore.value,attributeScores.PROFANITY.summaryScore.value,attributeScores.IDENTITY_ATTACK.summaryScore.value,attributeScores.TOXICITY.summaryScore.value,attributeScores.SEVERE_TOXICITY.summaryScore.value,attributeScores.INSULT.summaryScore.value
willrferreira doentespfutebol jairbolsonaro se vc tiver morto quem cria seu filho sustenta sua família só com vacina a economia pode tentar se recuperar cobre seu presidente que faz tudo para atrapalhar a vacinação,0.92975205,0.72790056,0.8082596,0.85921973,0.8820189,0.80374557
to so as fofoqueiras olhando a fila da vacina,0.4653846,0.31373078,0.2536012,0.54238683,0.34962407,0.5754986
jairbolsonaro itamaratygovbr minsaude mdregionalbr exercitooficial defesagovbr compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.25016373,0.7366411999999999,0.54238683,0.50714284,0.6239166
há um ano tínhamos a confirmação do primeiro caso do novo coronavírus na bahia em feira de santana,0.22395833,0.046026133,0.15539992,0.029602987999999997,0.060686015,0.029333333
manifestação a favor da morte na marginal tietê  só deve ter eleitor do presidente ali e nenhum deve ter perdido ninguém pra covid nnbdsp,0.92975205,0.5767635,0.80461085,0.74534816,0.6696890999999999,0.71376973
europa e eua têm mais mortes por habitantes que o brasil em razão do   diário do poder,0.8707035,0.22129783,0.8568281999999999,0.54238683,0.38889602,0.3425
tw sangue nnnnnnnhoje eu vou tirar  eu to me tremendo serio eu odeio tirar  ou tomar vacina odeio odeio da última vez fiz um escandalo,0.88135594,0.5802423000000001,0.8082596,0.7105438000000001,0.6696890999999999,0.45039085
hoje em são paulonprotesto contra as restriçõesserá que não sabem da pandemia hospitais cheiosncade o auxilio pra ajudar o povo passar por esta fasenquanto vale uma vidancade as vacinas,0.22395833,0.10279001,0.3954228,0.18656328,0.110269174,0.22475176
jairbolsonaro jorgeseif compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.36801523,0.7366411999999999,0.61373925,0.6526309,0.6580674
se não tivesse cancelado as vacinas no ano passado não iria precisar fechar nada,0.07751938,0.021368561,0.03968952,0.06010052,0.046670984000000006,0.0529548
zadorah ontem mesmo tava entrando em desespero por causa disso pq se dá outra mutação e a vacina não funciona nela eu tô  de verde e amarelo literalmente,0.5378605,0.10279001,0.15309018,0.18330358,0.13884786,0.10393545
acabem la o covid para poder comprar bilhetes para a paddock para ir ver a,0.7106068,0.10279001,0.29101009999999994,0.14002943,0.14665669,0.11083112
